Date,Close,Trends,Score,Number
2017/11/10,6618.140137,120.0,0.51719312,1129
2017/11/11,6357.600098,114.0,0.54048506,1025
2017/11/12,5950.069824,150.0,0.602650622,979
2017/11/13,6559.490234,126.0,0.38675965,1038
2017/11/14,6635.75,108.0,0.675770203,892
2017/11/15,7315.540039,102.0,0.603959037,889
2017/11/16,7871.689941,108.0,0.595789332,867
2017/11/17,7708.990234,120.0,0.672773596,1005
2017/11/18,7790.149902,90.0,0.436606273,828
2017/11/19,8036.490234,90.0,0.674929271,611
2017/11/20,8200.639648,114.0,0.568779842,938
2017/11/21,8071.259766,114.0,0.485367984,924
2017/11/22,8253.549805,102.0,0.691459788,955
2017/11/23,8038.77002,96.0,0.803332413,793
2017/11/24,8253.69043,96.0,0.574461708,862
2017/11/25,8790.919922,102.0,0.925825304,765
2017/11/26,9330.549805,144.0,0.642922236,841
2017/11/27,9818.349609,198.0,0.638422263,935
2017/11/28,10058.79981,228.0,0.805425682,905
2017/11/29,9888.610352,372.0,0.505557552,1006
2017/11/30,10233.59961,306.0,0.685506466,1189
2017/12/1,10975.59961,228.0,0.930793498,1122
2017/12/2,11074.59961,180.0,0.971610562,890
2017/12/3,11323.2002,180.0,0.685338946,983
2017/12/4,11657.2002,210.0,0.804360293,844
2017/12/5,11916.7002,210.0,0.97030154,942
2017/12/6,14291.5,282.0,0.673608103,1069
2017/12/7,17899.69922,582.0,0.524076215,1285
2017/12/8,16569.40039,504.0,0.191535666,1363
2017/12/9,15178.2002,342.0,0.694251163,854
2017/12/10,15455.40039,324.0,0.565803381,599
2017/12/11,16936.80078,384.0,1.069853312,838
2017/12/12,17415.40039,354.0,0.960934305,1003
2017/12/13,16408.19922,324.0,0.646603002,974
2017/12/14,16564.0,282.0,0.560479512,1095
2017/12/15,17706.90039,258.0,0.934885823,1098
2017/12/16,19497.40039,246.0,0.711232666,882
2017/12/17,19140.80078,282.0,0.519026538,1047
2017/12/18,19114.19922,288.0,0.968674371,879
2017/12/19,17776.69922,300.0,1.039232019,879
2017/12/20,16624.59961,414.0,0.596028242,1169
2017/12/21,15802.90039,318.0,0.502547661,1034
2017/12/22,13831.79981,600.0,0.028693542,1205
2017/12/23,14699.2002,384.0,0.449081098,861
2017/12/24,13925.79981,282.0,0.618867704,783
2017/12/25,14026.59961,240.0,0.94734326,994
2017/12/26,16099.79981,246.0,0.860153862,852
2017/12/27,15838.5,228.0,0.928443715,1097
2017/12/28,14606.5,234.0,0.777719208,916
2017/12/29,14656.2002,198.0,0.449791374,765
2017/12/30,12952.2002,198.0,0.646244664,937
2017/12/31,14156.40039,168.0,0.600711571,372
2018/1/1,13657.2002,162.0,0.78048131,905
2018/1/2,14982.09961,186.0,0.550470484,1329
2018/1/3,15201.0,192.0,0.639489153,1197
2018/1/4,15599.2002,186.0,0.749858106,1330
2018/1/5,17429.5,180.0,0.264119912,1207
2018/1/6,17527.0,162.0,0.934973965,1280
2018/1/7,16477.59961,156.0,0.482185562,1409
2018/1/8,15170.09961,180.0,0.840388868,1260
2018/1/9,14595.40039,168.0,0.931239448,1368
2018/1/10,14973.29981,180.0,0.438133772,1213
2018/1/11,13405.79981,192.0,0.747352332,1410
2018/1/12,13980.59961,162.0,0.338311034,1425
2018/1/13,14360.2002,138.0,0.76438839,1329
2018/1/14,13772.0,132.0,0.791412188,1117
2018/1/15,13819.79981,138.0,0.500824987,1188
2018/1/16,11490.5,258.0,0.4084071,1420
2018/1/17,11188.59961,348.0,0.710870683,1446
2018/1/18,11474.90039,240.0,0.572924239,1598
2018/1/19,11607.40039,180.0,0.965883915,1090
2018/1/20,12899.2002,144.0,0.714260999,1112
2018/1/21,11600.09961,138.0,0.302604536,1406
2018/1/22,10931.40039,156.0,0.851678634,1101
2018/1/23,10868.40039,150.0,0.54136619,1411
2018/1/24,11359.40039,138.0,0.950017757,1417
2018/1/25,11259.40039,132.0,0.71397246,1493
2018/1/26,11171.40039,138.0,0.631815887,1198
2018/1/27,11440.7002,114.0,0.895477121,1175
2018/1/28,11786.29981,108.0,0.745950288,1520
2018/1/29,11296.40039,114.0,0.526930742,985
2018/1/30,10106.29981,126.0,0.594216727,1256
2018/1/31,10221.09961,138.0,0.469331259,1520
2018/2/1,9170.540039,174.0,0.714542146,1602
2018/2/2,8830.75,228.0,0.552840759,2069
2018/2/3,9174.910156,150.0,0.750140359,1247
2018/2/4,8277.009766,132.0,0.70778455,1116
2018/2/5,6955.27002,222.0,0.387345362,1625
2018/2/6,7754.0,288.0,-0.065128455,2282
2018/2/7,7621.299805,174.0,0.11270692,1343
2018/2/8,8265.589844,156.0,0.523627174,1489
2018/2/9,8736.980469,132.0,0.739022931,1390
2018/2/10,8621.900391,108.0,0.453519565,1061
2018/2/11,8129.970215,96.0,0.62885057,865
2018/2/12,8926.570313,108.0,0.701085168,1333
2018/2/13,8598.30957,102.0,0.685850139,1195
2018/2/14,9494.629883,102.0,0.873708188,1207
2018/2/15,10166.40039,114.0,0.877526416,1174
2018/2/16,10233.90039,102.0,0.895448459,717
2018/2/17,11112.7002,90.0,0.610781661,610
2018/2/18,10551.79981,96.0,0.708215752,811
2018/2/19,11225.29981,90.0,0.637157479,924
2018/2/20,11403.7002,102.0,0.640925267,972
2018/2/21,10690.40039,96.0,0.701362322,1239
2018/2/22,10005.0,90.0,0.730549841,1241
2018/2/23,10301.09961,78.0,0.581938179,841
2018/2/24,9813.070313,72.0,0.626578278,894
2018/2/25,9664.730469,66.0,0.681802781,976
2018/2/26,10366.7002,78.0,1.031933777,1089
2018/2/27,10725.59961,78.0,0.673860314,1100
2018/2/28,10397.90039,72.0,0.560432073,1100
2018/3/1,10951.0,66.0,0.88196085,1073
2018/3/2,11086.40039,66.0,0.805178077,1214
2018/3/3,11489.7002,66.0,0.736234014,925
2018/3/4,11512.59961,60.0,0.725854272,978
2018/3/5,11573.29981,66.0,0.97729372,779
2018/3/6,10779.90039,66.0,0.775737281,1144
2018/3/7,9965.570313,78.0,0.4039107,1078
2018/3/8,9395.009766,78.0,0.021885718,976
2018/3/9,9337.549805,84.0,0.633732107,1405
2018/3/10,8866.0,60.0,0.384856073,1111
2018/3/11,9578.629883,60.0,0.333540877,967
2018/3/12,9205.120117,72.0,0.840818885,1139
2018/3/13,9194.849609,66.0,0.622654778,1079
2018/3/14,8269.80957,78.0,0.496994885,974
2018/3/15,8300.860352,84.0,0.383253915,1231
2018/3/16,8338.349609,72.0,0.627381127,969
2018/3/17,7916.879883,66.0,0.400655674,1150
2018/3/18,8223.679688,72.0,0.563684793,1356
2018/3/19,8630.650391,72.0,0.711373615,1028
2018/3/20,8913.469727,72.0,0.410849088,1062
2018/3/21,8929.280273,60.0,0.879257512,1301
2018/3/22,8728.469727,60.0,0.896443362,1398
2018/3/23,8879.620117,60.0,0.772373648,963
2018/3/24,8668.120117,48.0,0.919608887,948
2018/3/25,8495.780273,54.0,0.833781945,888
2018/3/26,8209.400391,72.0,0.644050143,1031
2018/3/27,7833.040039,66.0,0.796936389,887
2018/3/28,7954.47998,60.0,0.491670194,1067
2018/3/29,7165.700195,72.0,0.616695042,1038
2018/3/30,6890.52002,84.0,0.415360407,1117
2018/3/31,6973.529785,60.0,0.851579969,968
2018/4/1,6844.22998,60.0,0.717295747,729
2018/4/2,7083.799805,72.0,0.644866624,712
2018/4/3,7456.109863,66.0,0.560412364,784
2018/4/4,6853.839844,60.0,0.437177041,981
2018/4/5,6811.470215,66.0,0.324641419,1156
2018/4/6,6636.319824,66.0,0.555077442,458
